drug_name,drug_load,drug_mw,mn_length,skin_type,mn_type,mn_surface_area,permeation_time,drug_perm_per,drug_perm_amt
1.0,531.0,66000.0,0.82,1.0,1.0,26.76103315,1.0,17.6958866,93.96515777
1.0,526.0,66000.0,0.82,1.0,1.0,26.76103315,1.0,19.6069373,103.1324902
1.0,1637.0,66000.0,0.82,1.0,1.0,26.76103315,1.0,21.105305,345.4938423
1.0,531.0,66000.0,0.82,1.0,1.0,26.76103315,3.0,43.4244588,230.5838763
1.0,526.0,66000.0,0.82,1.0,1.0,26.76103315,3.0,41.0656409,216.0052712
1.0,1087.0,66000.0,0.82,1.0,1.0,26.76103315,3.0,60.4525744,657.1194841
1.0,1074.0,66000.0,0.82,1.0,1.0,26.76103315,3.0,67.3015549,722.8187001
1.0,1637.0,66000.0,0.82,1.0,1.0,26.76103315,3.0,39.2530672,642.57271
1.0,1357.0,66000.0,0.82,1.0,1.0,26.76103315,3.0,52.0930871,706.9031923
1.0,531.0,66000.0,0.82,1.0,1.0,26.76103315,6.0,69.0601156,366.7092141
1.0,1087.0,66000.0,0.82,1.0,1.0,26.76103315,6.0,59.3925167,645.5966565
1.0,1637.0,66000.0,0.82,1.0,1.0,26.76103315,6.0,52.4463134,858.5461502
1.0,1357.0,66000.0,0.82,1.0,1.0,26.76103315,6.0,50.2869057,682.3933104
1.0,531.0,66000.0,0.82,1.0,1.0,26.76103315,9.0,84.5230355,448.8173186
1.0,1087.0,66000.0,0.82,1.0,1.0,26.76103315,9.0,69.2492967,752.7398547
1.0,1637.0,66000.0,0.82,1.0,1.0,26.76103315,9.0,59.8994766,980.5544326
1.0,1357.0,66000.0,0.82,1.0,1.0,26.76103315,9.0,56.6249605,768.4007143
1.0,1087.0,66000.0,0.82,1.0,1.0,26.76103315,18.0,65.3458244,710.309111
1.0,1637.0,66000.0,0.82,1.0,1.0,26.76103315,18.0,61.464777,1006.1784
1.0,1357.0,66000.0,0.82,1.0,1.0,26.76103315,18.0,68.5504493,930.2295971
1.0,1087.0,66000.0,0.82,1.0,1.0,26.76103315,24.0,72.4323982,787.3401685
1.0,1637.0,66000.0,0.82,1.0,1.0,26.76103315,24.0,73.4407834,1202.225625
1.0,1357.0,66000.0,0.82,1.0,1.0,26.76103315,24.0,64.2742561,872.2016558
1.0,1087.0,66000.0,0.82,1.0,1.0,26.76103315,30.0,85.5601298,930.038611
1.0,1637.0,66000.0,0.82,1.0,1.0,26.76103315,30.0,82.0372965,1342.950544
1.0,1357.0,66000.0,0.82,1.0,1.0,26.76103315,30.0,75.2731973,1021.457288
1.0,531.0,66000.0,0.82,1.0,1.0,26.76103315,42.0,87.2715328,463.4118392
1.0,1087.0,66000.0,0.82,1.0,1.0,26.76103315,42.0,97.4726018,1059.527182
1.0,1637.0,66000.0,0.82,1.0,1.0,26.76103315,42.0,87.5537651,1433.255135
1.0,1357.0,66000.0,0.82,1.0,1.0,26.76103315,42.0,88.4325192,1200.029285
1.0,1637.0,66000.0,0.82,1.0,1.0,26.76103315,48.0,95.1974867,1558.382857
1.0,1357.0,66000.0,0.82,1.0,1.0,26.76103315,48.0,91.6883371,1244.210734
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.083333333,1.4442226,1024.531509
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.083333333,1.5646029,1109.929295
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.083333333,2.0977566,1488.148502
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.166666667,1.2837534,910.694674
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.166666667,3.128349,2219.250807
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.166666667,3.7167494,2636.662022
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.25,1.2837534,910.694674
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.25,2.9352834,2082.29003
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.25,3.5109631,2490.677205
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.333333333,1.2837534,910.694674
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.333333333,2.9352834,2082.29003
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.333333333,3.5109631,2490.677205
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.416666667,1.2837534,910.694674
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.416666667,2.9352834,2082.29003
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.416666667,3.5109631,2490.677205
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.5,1.2837534,910.694674
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.5,2.9352834,2082.29003
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.75,1.2837534,910.694674
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,0.75,2.9352834,2082.29003
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,1.0,4.035592,2862.848942
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,1.0,5.0122475,3555.688395
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,1.0,7.0138816,1895.431377
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,1.0,5.7532681,1554.763163
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,1.0,9.1872652,2482.766544
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,1.5,6.078239,4311.902742
