drug_name,drug_load,drug_mw,mn_length,skin_type,mn_type,mn_surface_area,permeation_time,drug_perm_per,drug_perm_amt
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,1.5,7.3378683,5205.483748
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,2.0,8.371411,5938.678996
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,2.0,9.4920383,6733.651992
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,2.0,14.8085004,4001.849144
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,2.0,11.7574187,3177.324831
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,3.0,10.9104547,7739.876585
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,3.0,11.9575269,8482.669584
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,3.0,2.4474498,1238.213787
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,3.0,2.3593597,1193.647249
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,3.0,16.2602985,4394.183075
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,3.0,16.2278188,4385.405754
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,3.0,16.0061849,4325.511402
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,6.0,18.313884,12991.86928
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,6.0,20.1212327,14274.00249
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,6.0,7.4552469,3771.758529
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,6.0,4.7798289,2418.211041
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,6.0,6.8844586,3482.985285
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,6.0,26.0285567,7033.95717
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,6.0,23.2299181,6277.653062
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,6.0,21.9195207,5923.531283
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,19.5,27.6600463,19622.03687
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,19.5,30.0873734,21343.98269
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,20.0,34.0816817,9210.233657
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,20.0,34.6172156,9354.956357
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,21.0,16.7655732,8482.038772
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,21.0,14.5749793,7373.773512
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,21.0,16.2430834,8217.700744
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,24.0,31.5933219,22412.30259
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,24.0,34.1279637,24210.37745
2.0,70940.0,234.34,0.889,1.0,1.0,32.12727744,24.0,40.8934142,29009.78801
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,24.0,20.6770156,10460.91572
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,24.0,16.2169387,8204.473607
2.0,50592.0,234.34,0.889,1.0,1.0,32.12727744,24.0,18.9082354,9566.054457
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,24.0,47.967593,12962.76232
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,24.0,38.909355,10514.86409
2.0,27024.0,234.34,0.889,1.0,1.0,32.12727744,24.0,41.6449883,11254.14165
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,6.0,5.7050696,2.852534781
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,6.0,6.3970482,3.19852408
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,6.0,4.7132336,2.356616786
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,16.0,9.4676039,4.73380197
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,16.0,9.5060472,4.753023597
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,22.0,12.779121,6.389560519
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,22.0,11.5925059,5.796252944
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,26.0,14.7766828,7.388341422
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,26.0,12.7710002,6.385500108
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,30.0,16.4452407,8.222620368
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,30.0,14.0452258,7.022612893
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,35.0,18.0232937,9.011646829
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,35.0,15.2164335,7.608216742
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,40.0,18.7169507,9.358475347
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,40.0,16.3370368,8.168518396
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,44.0,20.253696,10.12684798
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,44.0,16.9128514,8.456425715
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,48.0,26.52117,13.26058499
3.0,50.0,479.02,1.25,1.0,1.0,29.96883853,48.0,22.8122906,11.40614532
4.0,5310.0,194.19,0.875973,2.0,1.0,28.53528595,0.5,0.0198437,1.0537
4.0,3690.0,194.19,0.998619,2.0,1.0,32.43964704,0.5,0.0682791,2.5195
4.0,2190.0,194.19,1.062965,2.0,1.0,34.49080218,0.5,0.2099406,4.5977
4.0,5310.0,194.19,0.875973,2.0,1.0,28.53528595,1.0,0.0549341,2.917
4.0,3690.0,194.19,0.998619,2.0,1.0,32.43964704,1.0,0.1188347,4.385
4.0,2190.0,194.19,1.062965,2.0,1.0,34.49080218,1.0,0.3530365,7.7315
4.0,5310.0,194.19,0.875973,2.0,1.0,28.53528595,3.0,0.1772166,9.4102
4.0,3690.0,194.19,0.998619,2.0,1.0,32.43964704,3.0,0.349122,12.8826
4.0,2190.0,194.19,1.062965,2.0,1.0,34.49080218,3.0,1.409242,30.8624
4.0,5310.0,194.19,0.875973,2.0,1.0,28.53528595,6.0,0.406661,21.5937
4.0,3690.0,194.19,0.998619,2.0,1.0,32.43964704,6.0,0.6315799,23.3053
4.0,2190.0,194.19,1.062965,2.0,1.0,34.49080218,6.0,2.4832009,54.3821
4.0,5310.0,194.19,0.875973,2.0,1.0,28.53528595,9.0,0.6112768,32.4588
4.0,3690.0,194.19,0.998619,2.0,1.0,32.43964704,9.0,0.9204309,33.9639
4.0,2190.0,194.19,1.062965,2.0,1.0,34.49080218,9.0,3.3086575,72.4596
4.0,5310.0,194.19,0.875973,2.0,1.0,28.53528595,24.0,1.4912863,79.1873
4.0,3690.0,194.19,0.998619,2.0,1.0,32.43964704,24.0,2.4129892,89.0393
4.0,2190.0,194.19,1.062965,2.0,1.0,34.49080218,24.0,5.9865845,131.1062
5.0,736.6,63.5,0.7,1.0,2.0,36.855,1.0,0.8453793,6.227064
5.0,736.6,63.5,0.7,1.0,2.0,36.855,3.0,1.0150345,7.476744
5.0,736.6,63.5,0.7,1.0,2.0,36.855,6.0,1.1294483,8.319516
5.0,736.6,63.5,0.7,1.0,2.0,36.855,9.0,1.2289655,9.05256
5.0,736.6,63.5,0.7,1.0,2.0,36.855,1.0,0.8371034,6.166104
5.0,736.6,63.5,0.7,1.0,2.0,36.855,3.0,1.0098621,7.438644
5.0,736.6,63.5,0.7,1.0,2.0,36.855,6.0,1.148069,8.456676
5.0,736.6,63.5,0.7,1.0,2.0,36.855,9.0,1.2825517,9.447276
5.0,736.6,63.5,0.7,1.0,2.0,36.855,1.0,0.6691034,4.928616
5.0,736.6,63.5,0.7,1.0,2.0,36.855,3.0,0.9537931,7.02564
5.0,736.6,63.5,0.7,1.0,2.0,36.855,6.0,1.2233793,9.011412
5.0,736.6,63.5,0.7,1.0,2.0,36.855,9.0,1.4770345,10.879836
5.0,736.6,63.5,0.7,2.0,2.0,36.855,1.0,2.6495791,19.5168
5.0,736.6,63.5,0.7,2.0,2.0,36.855,1.0,2.4827586,18.288
5.0,736.6,63.5,0.7,2.0,2.0,36.855,1.0,1.7698615,13.0368
5.0,736.6,63.5,0.7,2.0,2.0,36.855,3.0,3.9691556,29.2368
5.0,736.6,63.5,0.7,2.0,2.0,36.855,3.0,3.4009232,25.0512
5.0,736.6,63.5,0.7,2.0,2.0,36.855,3.0,3.4185175,25.1808
5.0,736.6,63.5,0.7,2.0,2.0,36.855,6.0,5.1818626,38.1696
5.0,736.6,63.5,0.7,2.0,2.0,36.855,6.0,4.3927233,32.3568
5.0,736.6,63.5,0.7,2.0,2.0,36.855,6.0,5.1968504,38.28
5.0,736.6,63.5,0.7,2.0,2.0,36.855,9.0,6.1749661,45.4848
5.0,736.6,63.5,0.7,2.0,2.0,36.855,9.0,5.3174043,39.168
5.0,736.6,63.5,0.7,2.0,2.0,36.855,9.0,6.7594895,49.7904
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,1.0,5.7460151,453.2456677
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,3.0,7.7147601,608.5402767
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,6.0,8.8721541,699.8355176
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,9.0,9.7465097,768.8046883
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,1.0,3.4974256,275.8769329
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,3.0,5.1038324,402.590303
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,6.0,6.2920355,496.3157573
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,9.0,7.2219962,569.6710595
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,1.0,2.4619652,194.1998183
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,3.0,5.6861063,448.5200612
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,6.0,9.0041458,710.2470186
6.0,7888.0,340.38,0.7,1.0,2.0,36.855,9.0,11.6244901,916.9397782
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,1.0,0.2891969,22.81185437
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,1.0,0.2736605,21.58634282
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,1.0,0.1807479,14.2573962
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,3.0,0.424926,33.5181655
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,3.0,0.3637388,28.69171996
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,3.0,0.3524695,27.80279558
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,6.0,0.5439803,42.90916931
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,6.0,0.4577203,36.10497467
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,6.0,0.4853251,38.28244524
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,9.0,0.620593,48.95237426
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,9.0,0.5221895,41.19030492
6.0,7888.0,340.38,0.7,2.0,2.0,36.855,9.0,0.5927416,46.75545732
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,1.0,0.0407876,2.039379206
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,3.0,0.6606969,33.03484383
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,6.0,2.8926549,144.6327434
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,9.0,6.8148163,340.7408145
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,1.0,0.0411237,2.05618266
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,3.0,0.6565894,32.82946828
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,6.0,2.7240229,136.2011436
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,9.0,5.9165036,295.8251818
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,1.0,0.0404142,2.020708701
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,3.0,0.675932,33.79660041
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,6.0,2.945007,147.2503481
2.0,5000.0,234.34,0.7,2.0,2.0,36.855,9.0,6.9493559,347.4677973
